375,116,40
323,222,20
375,116,40
323,222,20
345,193,80
324,224,20
376,113,40
324,224,20
376,113,40
324,224,20
377,110,40
324,224,20
377,110,40
325,221,20
347,197,160
377,110,80
347,197,160
325,221,40
377,110,80
325,221,40
347,197,160
378,107,80
347,197,160
325,221,40
378,107,80
325,221,40
347,197,160
378,107,80
347,197,160
323,220,40
378,107,80
323,220,40
345,196,160
378,107,80
345,196,160
323,220,40
378,107,80
323,220,40
345,196,160
379,104,80
345,196,160
323,220,40
379,104,80
323,220,40
345,196,160
379,104,80
345,196,160
324,222,40
379,104,80
324,222,40
346,198,160
379,104,80
346,198,160
324,222,40
379,104,80
324,222,40
346,198,160
380,101,80
346,198,160
324,222,40
380,101,80
324,222,40
